# BEGIN DATA
# Process=pp -> vv~j
# Proc=vvj
# Sqrt=13 TeV
# Unit=pb/GeV
# Timestamp=2019-05-03 18:52:10
# END DATA

# BEGIN HISTO1D vvj_pTV_LO
# xlow   xhigh   val   errminus  errplus
1.800000e+03 2.000000e+03 1.832204e-01 6.107718e-05 6.107718e-05
2.000000e+03 2.200000e+03 2.001797e-01 1.721547e-05 1.721547e-05
2.200000e+03 2.400000e+03 2.155027e-01 2.177490e-05 2.177490e-05
2.400000e+03 2.600000e+03 2.296260e-01 2.900525e-05 2.900525e-05
2.600000e+03 2.800000e+03 2.428226e-01 3.894896e-05 3.894896e-05
2.800000e+03 3.000000e+03 2.552729e-01 5.244658e-05 5.244658e-05
3.000000e+03 6.500000e+03 2.712328e-01 5.213743e-05 5.213743e-05
# END HISTO1D

# BEGIN HISTO1D vvj_pTV_K_NLO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 1.346255e+00 2.346250e-04 2.346250e-04
4.000000e+01 5.000000e+01 1.364973e+00 2.683282e-04 2.683282e-04
5.000000e+01 6.000000e+01 1.378390e+00 3.250761e-04 3.250761e-04
6.000000e+01 7.000000e+01 1.388432e+00 3.978296e-04 3.978296e-04
7.000000e+01 8.000000e+01 1.399217e+00 4.308613e-04 4.308613e-04
8.000000e+01 9.000000e+01 1.408594e+00 3.085009e-04 3.085009e-04
9.000000e+01 1.000000e+02 1.418539e+00 3.124033e-04 3.124033e-04
1.000000e+02 1.100000e+02 1.425675e+00 3.376214e-04 3.376214e-04
1.100000e+02 1.200000e+02 1.433666e+00 3.649565e-04 3.649565e-04
1.200000e+02 1.300000e+02 1.442244e+00 3.940427e-04 3.940427e-04
1.300000e+02 1.400000e+02 1.448906e+00 4.327175e-04 4.327175e-04
1.400000e+02 1.500000e+02 1.455743e+00 4.663856e-04 4.663856e-04
1.500000e+02 2.000000e+02 1.467583e+00 1.499752e-04 1.499752e-04
2.000000e+02 2.500000e+02 1.483697e+00 2.009677e-04 2.009677e-04
2.500000e+02 3.000000e+02 1.493671e+00 2.650956e-04 2.650956e-04
3.000000e+02 3.500000e+02 1.500310e+00 1.651133e-04 1.651133e-04
3.500000e+02 4.000000e+02 1.505831e+00 1.809720e-04 1.809720e-04
4.000000e+02 4.500000e+02 1.509561e+00 2.036677e-04 2.036677e-04
4.500000e+02 5.000000e+02 1.511796e+00 2.332574e-04 2.332574e-04
5.000000e+02 5.500000e+02 1.515465e+00 2.647489e-04 2.647489e-04
5.500000e+02 6.000000e+02 1.518011e+00 3.007821e-04 3.007821e-04
6.000000e+02 6.500000e+02 1.520148e+00 2.168310e-04 2.168310e-04
6.500000e+02 7.000000e+02 1.522737e+00 2.252760e-04 2.252760e-04
7.000000e+02 7.500000e+02 1.526017e+00 2.461301e-04 2.461301e-04
7.500000e+02 8.000000e+02 1.527953e+00 2.690590e-04 2.690590e-04
8.000000e+02 8.500000e+02 1.530687e+00 2.904176e-04 2.904176e-04
8.500000e+02 9.000000e+02 1.533970e+00 3.160104e-04 3.160104e-04
9.000000e+02 9.500000e+02 1.536922e+00 3.409382e-04 3.409382e-04
9.500000e+02 1.000000e+03 1.539202e+00 3.777185e-04 3.777185e-04
1.000000e+03 1.100000e+03 1.544574e+00 1.738029e-04 1.738029e-04
1.100000e+03 1.200000e+03 1.551782e+00 1.893785e-04 1.893785e-04
1.200000e+03 1.300000e+03 1.558839e+00 2.208140e-04 2.208140e-04
1.300000e+03 1.400000e+03 1.567005e+00 2.436777e-04 2.436777e-04
1.400000e+03 1.600000e+03 1.577621e+00 1.797875e-04 1.797875e-04
1.600000e+03 1.800000e+03 1.595989e+00 2.379126e-04 2.379126e-04
1.800000e+03 2.000000e+03 1.615779e+00 3.060447e-04 3.060447e-04
2.000000e+03 2.200000e+03 1.636569e+00 1.260898e-04 1.260898e-04
2.200000e+03 2.400000e+03 1.658837e+00 1.470927e-04 1.470927e-04
2.400000e+03 2.600000e+03 1.682027e+00 1.794378e-04 1.794378e-04
2.600000e+03 2.800000e+03 1.706900e+00 2.240999e-04 2.240999e-04
2.800000e+03 3.000000e+03 1.732509e+00 2.934057e-04 2.934057e-04
3.000000e+03 6.500000e+03 1.769586e+00 2.606316e-04 2.606316e-04
# END HISTO1D

# BEGIN HISTO1D vvj_pTV_NLO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 6.854374e+01 1.561713e-02 1.561713e-02
4.000000e+01 5.000000e+01 4.080736e+01 1.053222e-02 1.053222e-02
5.000000e+01 6.000000e+01 2.574503e+01 8.001335e-03 8.001335e-03
6.000000e+01 7.000000e+01 1.686067e+01 6.386437e-03 6.386437e-03
7.000000e+01 8.000000e+01 1.137280e+01 4.630811e-03 4.630811e-03
8.000000e+01 9.000000e+01 7.843877e+00 2.247462e-03 2.247462e-03
9.000000e+01 1.000000e+02 5.520254e+00 1.596618e-03 1.596618e-03
1.000000e+02 1.100000e+02 3.946918e+00 1.229391e-03 1.229391e-03
1.100000e+02 1.200000e+02 2.868715e+00 9.735199e-04 9.735199e-04
1.200000e+02 1.300000e+02 2.115216e+00 7.685564e-04 7.685564e-04
1.300000e+02 1.400000e+02 1.578924e+00 6.267547e-04 6.267547e-04
1.400000e+02 1.500000e+02 1.193678e+00 5.080024e-04 5.080024e-04
1.500000e+02 2.000000e+02 5.888981e-01 7.607375e-05 7.607375e-05
2.000000e+02 2.500000e+02 1.888067e-01 3.195458e-05 3.195458e-05
2.500000e+02 3.000000e+02 7.178700e-02 1.583972e-05 1.583972e-05
3.000000e+02 3.500000e+02 3.091585e-02 4.376455e-06 4.376455e-06
3.500000e+02 4.000000e+02 1.463576e-02 2.251166e-06 2.251166e-06
4.000000e+02 4.500000e+02 7.449424e-03 1.278924e-06 1.278924e-06
4.500000e+02 5.000000e+02 4.017026e-03 7.851951e-07 7.851951e-07
5.000000e+02 5.500000e+02 2.273961e-03 5.013000e-07 5.013000e-07
5.500000e+02 6.000000e+02 1.337847e-03 3.335767e-07 3.335767e-07
6.000000e+02 6.500000e+02 8.133904e-04 1.467726e-07 1.467726e-07
6.500000e+02 7.000000e+02 5.087159e-04 9.494044e-08 9.494044e-08
7.000000e+02 7.500000e+02 3.261319e-04 6.622887e-08 6.622887e-08
7.500000e+02 8.000000e+02 2.132675e-04 4.720037e-08 4.720037e-08
8.000000e+02 8.500000e+02 1.421176e-04 3.373719e-08 3.373719e-08
8.500000e+02 9.000000e+02 9.627394e-05 2.472756e-08 2.472756e-08
9.000000e+02 9.500000e+02 6.612712e-05 1.824379e-08 1.824379e-08
9.500000e+02 1.000000e+03 4.599227e-05 1.400467e-08 1.400467e-08
1.000000e+03 1.100000e+03 2.770102e-05 3.868796e-09 3.868796e-09
1.100000e+03 1.200000e+03 1.423949e-05 2.149767e-09 2.149767e-09
1.200000e+03 1.300000e+03 7.555480e-06 1.321908e-09 1.321908e-09
1.300000e+03 1.400000e+03 4.118610e-06 7.839481e-10 7.839481e-10
1.400000e+03 1.600000e+03 1.797401e-06 2.442374e-10 2.442374e-10
1.600000e+03 1.800000e+03 5.937839e-07 1.044911e-10 1.044911e-10
1.800000e+03 2.000000e+03 2.058748e-07 4.581871e-11 4.581871e-11
2.000000e+03 2.200000e+03 7.378134e-08 6.818823e-12 6.818823e-12
2.200000e+03 2.400000e+03 2.702141e-08 2.842326e-12 2.842326e-12
2.400000e+03 2.600000e+03 1.002008e-08 1.260056e-12 1.260056e-12
2.600000e+03 2.800000e+03 3.737416e-09 5.771605e-13 5.771605e-13
2.800000e+03 3.000000e+03 1.392858e-09 2.757744e-13 2.757744e-13
3.000000e+03 6.500000e+03 4.636596e-11 7.876235e-15 7.876235e-15
# END HISTO1D

# BEGIN HISTO1D vvj_pTV_K_NNLO
# xlow   xhigh   val   errminus  errplus
